x_axis,mean_cumulated_mixed_spectral_ucrl_regret,lower_bound_mixed,upper_bound_mixed,mean_cumulated_seeu_regret,lower_bound_seeu,upper_bound_seeu,mean_cumulated_smucrl_regret,lower_bound_smucrl,upper_bound_smucrl
1.66,0.8348933333333963,0.9014042290285513,0.7683824376382414,1.2155066666663081,1.3359202215569508,1.0950931117756657,1.402046666666309,1.6031385281427912,1.2009548051898267
1.68,0.838760000000057,0.9058513749349346,0.7716686250651794,1.2294933333329612,1.345278808466046,1.1137078581998765,1.4209733333329908,1.6231092950319146,1.218837371634067
1.7,0.8433733333333834,0.9121016745205627,0.7746449921462041,1.244693333332946,1.3565832747577278,1.1328033919081644,1.4421933333329973,1.645031515804716,1.2393551508612786
1.72,0.8497533333333773,0.9204450055164108,0.7790616611503438,1.2595133333329316,1.3687397199265128,1.1502869467393502,1.4643799999996718,1.6675763583810197,1.2611836416183237
1.74,0.8518000000000364,0.9236712434011121,0.7799287565989608,1.272513333332915,1.379252743051695,1.1657739236141353,1.4824733333330131,1.6854724449415812,1.2794742217244452
1.76,0.8563600000000291,0.9290487437028356,0.7836712562972226,1.2861199999995665,1.3900021921567822,1.182237807842351,1.5033266666663572,1.7072197491945107,1.2994335841382039
1.78,0.8610066666666875,0.9349338460917256,0.7870794872416494,1.2993399999995496,1.399596113056692,1.1990838869424072,1.523766666666367,1.7273707983953315,1.3201625349374027
1.8,0.8651200000000153,0.9410980756308712,0.7891419243691594,1.311773333332869,1.4101706086863544,1.2133760579793835,1.5451599999997072,1.7493153180196008,1.3410046819798136
1.82,0.867986666666676,0.9457098382809632,0.7902634950523888,1.325293333332854,1.4214062646161238,1.2291804020495842,1.5654333333330477,1.7697334401841618,1.3611332264819338
1.84,0.8688133333333391,0.9463102057539505,0.7913164609127278,1.3390399999995042,1.4339631908478387,1.2441168091511694,1.5851733333330567,1.7898107367228422,1.3805359299432711
1.86,0.8680533333333362,0.9466955895312998,0.7894110771353726,1.3518266666661556,1.4452979350216877,1.2583553983106233,1.6038933333330614,1.808925982306814,1.3988606843593085
1.88,0.8703599999999988,0.9493160329039034,0.7914039670960941,1.3648933333328073,1.4571585973997896,1.272628069265825,1.6226066666663967,1.8273852648419904,1.4178280684908033
1.9,0.8700399999999961,0.949157624164618,0.7909223758353743,1.3765266666661267,1.4669550092590151,1.2860983240732384,1.6394333333330637,1.8433344301830814,1.4355322364830458
1.92,0.8706066666666599,0.9491652464253669,0.7920480869079527,1.3885799999994464,1.479205377258395,1.2979546227404977,1.6556799999997303,1.8577305005075566,1.4536294994919043
1.94,0.8735733333333224,0.9523320466795605,0.7948146199870845,1.4031733333327627,1.4936441026597285,1.312702564005797,1.6749799999997332,1.876255964615005,1.4737040353844617
1.96,0.8745599999999863,0.9533412864291549,0.7957787135708179,1.4169333333327496,1.507752542455569,1.3261141242099306,1.691486666666401,1.8912956227622983,1.4916777105705035
1.98,0.8753866666666503,0.9539357616108588,0.796837571722442,1.4301533333327354,1.521538042037778,1.3387686246276929,1.7086066666664068,1.9074699161583966,1.5097434171744168
2.0,0.8788733333333133,0.9584150602395739,0.7993316064270528,1.444853333332719,1.537242491576885,1.352464175088553,1.7252866666664097,1.9225846183542552,1.5279887149785643
2.02,0.8813466666666409,0.9623321827482753,0.8003611505850067,1.4614999999993825,1.557383587367532,1.3656164126312331,1.7439599999997433,1.9406132763908983,1.5473067236085885
2.04,0.8843399999999705,0.965471860441991,0.80320813955795,1.4762266666660464,1.574133428070877,1.3783199052612156,1.762506666666413,1.9582063849829021,1.5668069483499238
2.06,0.8858266666666331,0.9672840659926795,0.8043692673405869,1.4886333333327098,1.5891525172718761,1.3881141493935432,1.7804399999997513,1.9744349015335338,1.5864450984659686
2.08,0.8906066666666278,0.9730875790663367,0.808125754266919,1.5039666666660394,1.6080003641912743,1.3999329691408047,1.801033333333089,1.9943286417381045,1.6077380249280735
2.1,0.8927933333332914,0.9765607300211537,0.8090259366454291,1.5175599999993714,1.6263670166958677,1.4087529833028751,1.8197666666664245,2.01159722756955,1.6279361057632988
2.12,0.8947266666666212,0.9794809179631219,0.8099724153701205,1.5310533333327028,1.644121267441662,1.4179853992237434,1.837553333333096,2.0290403838804867,1.6460662827857053
2.14,0.896826666666621,0.9815916532757009,0.8120616800575412,1.544939999999366,1.6608821429631109,1.4289978570356214,1.8576799999997637,2.0479784328019623,1.6673815671975651
2.16,0.8973466666666211,0.9824613294932063,0.8122320038400357,1.556393333332701,1.6756984412627007,1.4370882254027013,1.874113333333101,2.0632694315697084,1.6849572350964936
